seed,model_tag,mode,factor,n_coords,ci_level,lower_q,upper_q,within_count,coverage_pct,quad_error,mse,rmse,eval_version,method
2,gp,1,1,15,80.0,10.0,90.0,15,100.0,0.0024997007456597,0.0024896686651274,0.0498965796936766,lambda_projected_optimum,blf_gp
2,gp,1,2,15,80.0,10.0,90.0,8,53.333333333333336,0.0272408007562507,0.027050143351118,0.1644692778336369,lambda_projected_optimum,blf_gp
2,gp,1,3,15,80.0,10.0,90.0,15,100.0,0.0032497749616411,0.0035962678878377,0.0599688910005658,lambda_projected_optimum,blf_gp
2,gp,2,1,25,80.0,10.0,90.0,24,96.0,0.0183238055800813,0.0112807930151538,0.1062110776480207,lambda_projected_optimum,blf_gp
2,gp,2,2,25,80.0,10.0,90.0,15,60.0,0.0645286762490698,0.0338366081993946,0.1839472973419144,lambda_projected_optimum,blf_gp
2,gp,2,3,25,80.0,10.0,90.0,20,80.0,0.0407986478068209,0.0226059564981067,0.1503527734965563,lambda_projected_optimum,blf_gp
2,gp,1,1,15,80.0,10.0,90.0,15,100.0,0.0232618515538953,0.0222692735720473,0.1492289300774061,blambda_actual,blf_gp
2,gp,1,2,15,80.0,10.0,90.0,10,66.66666666666667,0.0246198476700498,0.0233307300330433,0.1527440016270469,blambda_actual,blf_gp
2,gp,1,3,15,80.0,10.0,90.0,12,80.0,0.0524810713709204,0.0558259366013851,0.2362751290368606,blambda_actual,blf_gp
2,gp,2,1,25,80.0,10.0,90.0,20,80.0,0.074423801586046,0.0373246361932752,0.1931958493168921,blambda_actual,blf_gp
2,gp,2,2,25,80.0,10.0,90.0,22,88.0,0.0274603255062227,0.0166685039830406,0.1291065605731972,blambda_actual,blf_gp
2,gp,2,3,25,80.0,10.0,90.0,17,68.0,0.0811115300140287,0.0415932156798711,0.2039441484325333,blambda_actual,blf_gp
2,alt_fourier,1,1,15,80.0,10.0,90.0,11,73.33333333333333,0.1077575692639086,0.10125612822051,0.3182076809577513,lambda_projected_optimum,blf_gp
2,alt_fourier,1,2,15,80.0,10.0,90.0,13,86.66666666666667,0.0439613204125305,0.0422024818191441,0.205432426406213,lambda_projected_optimum,blf_gp
2,alt_fourier,1,3,15,80.0,10.0,90.0,3,20.0,0.0942345345636964,0.0934949617313041,0.3057694584671663,lambda_projected_optimum,blf_gp
2,alt_fourier,2,1,25,80.0,10.0,90.0,25,100.0,0.0514986688816423,0.0299415005653109,0.1730361250297491,lambda_projected_optimum,blf_gp
2,alt_fourier,2,2,25,80.0,10.0,90.0,25,100.0,0.0325640515624066,0.0156316200598759,0.1250264774352855,lambda_projected_optimum,blf_gp
2,alt_fourier,2,3,25,80.0,10.0,90.0,9,36.0,0.1502653882498854,0.0727405819076757,0.2697046197373632,lambda_projected_optimum,blf_gp
2,alt_fourier,1,1,15,80.0,10.0,90.0,14,93.33333333333331,0.0837525498675762,0.0818818847076195,0.2861501086975497,blambda_actual,blf_gp
2,alt_fourier,1,2,15,80.0,10.0,90.0,11,73.33333333333333,0.0579332792854871,0.0571785217155864,0.2391203080367422,blambda_actual,blf_gp
2,alt_fourier,1,3,15,80.0,10.0,90.0,10,66.66666666666667,0.0130890195921374,0.0124796448731577,0.111712330891257,blambda_actual,blf_gp
2,alt_fourier,2,1,25,80.0,10.0,90.0,25,100.0,0.0720428083704861,0.0386490600464723,0.1965936419278923,blambda_actual,blf_gp
2,alt_fourier,2,2,25,80.0,10.0,90.0,25,100.0,0.0197370692108122,0.00978332849811,0.0989107097240235,blambda_actual,blf_gp
2,alt_fourier,2,3,25,80.0,10.0,90.0,10,40.0,0.1661417495982985,0.0836357083038229,0.2891983891791636,blambda_actual,blf_gp
2,alt_bspline,1,1,15,80.0,10.0,90.0,3,20.0,0.0847290136901969,0.0814678961240581,0.285425815447829,lambda_projected_optimum,blf_gp
2,alt_bspline,1,2,15,80.0,10.0,90.0,9,60.0,0.0111815873784805,0.0120422120104685,0.1097370129467197,lambda_projected_optimum,blf_gp
2,alt_bspline,1,3,15,80.0,10.0,90.0,3,20.0,0.0464965480589979,0.0459184585272709,0.2142859270397171,lambda_projected_optimum,blf_gp
2,alt_bspline,2,1,25,80.0,10.0,90.0,8,32.0,0.2397251614554828,0.1152529784944997,0.3394892906919152,lambda_projected_optimum,blf_gp
2,alt_bspline,2,2,25,80.0,10.0,90.0,16,64.0,0.0265771934177345,0.0132428206509484,0.115077455007262,lambda_projected_optimum,blf_gp
2,alt_bspline,2,3,25,80.0,10.0,90.0,6,24.0,0.233042914498656,0.1143732423294081,0.3381911328367557,lambda_projected_optimum,blf_gp
2,alt_bspline,1,1,15,80.0,10.0,90.0,3,20.0,0.0851266455154032,0.0817721835540548,0.2859583598254383,blambda_actual,blf_gp
2,alt_bspline,1,2,15,80.0,10.0,90.0,10,66.66666666666667,0.0103891253766132,0.0112548672822442,0.1060889592853291,blambda_actual,blf_gp
2,alt_bspline,1,3,15,80.0,10.0,90.0,3,20.0,0.0448964188624314,0.0443764034404564,0.2106570754578549,blambda_actual,blf_gp
2,alt_bspline,2,1,25,80.0,10.0,90.0,8,32.0,0.2372600261017642,0.1140619295049998,0.3377305575529105,blambda_actual,blf_gp
2,alt_bspline,2,2,25,80.0,10.0,90.0,17,68.0,0.0237127159737916,0.0118369577658162,0.1087977838276876,blambda_actual,blf_gp
2,alt_bspline,2,3,25,80.0,10.0,90.0,6,24.0,0.2331374333417626,0.11446571348389,0.3383278195535952,blambda_actual,blf_gp
3,gp,1,1,15,80.0,10.0,90.0,10,66.66666666666667,0.0178907965610439,0.02078432100342,0.1441676836306251,lambda_projected_optimum,blf_gp
3,gp,1,2,15,80.0,10.0,90.0,13,86.66666666666667,0.0069176716811505,0.0083321948069785,0.0912808567388503,lambda_projected_optimum,blf_gp
3,gp,1,3,15,80.0,10.0,90.0,4,26.666666666666668,0.0360733957735341,0.0401376850566272,0.2003439169444065,lambda_projected_optimum,blf_gp
3,gp,2,1,25,80.0,10.0,90.0,21,84.0,0.0625359896616886,0.0397875176588658,0.1994680868180817,lambda_projected_optimum,blf_gp
3,gp,2,2,25,80.0,10.0,90.0,16,64.0,0.0242509621427473,0.0126027907479124,0.1122621518941823,lambda_projected_optimum,blf_gp
3,gp,2,3,25,80.0,10.0,90.0,10,40.0,0.2514887967449783,0.1220984022358186,0.3494258179296697,lambda_projected_optimum,blf_gp
3,gp,1,1,15,80.0,10.0,90.0,11,73.33333333333333,0.0156062015188126,0.0159219072620166,0.1261820401721918,blambda_actual,blf_gp
3,gp,1,2,15,80.0,10.0,90.0,9,60.0,0.0295248693462306,0.033936490440259,0.1842185941762097,blambda_actual,blf_gp
3,gp,1,3,15,80.0,10.0,90.0,2,13.333333333333334,0.137957257643417,0.1563903823187981,0.3954622388026423,blambda_actual,blf_gp
3,gp,2,1,25,80.0,10.0,90.0,16,64.0,0.1249936378225089,0.0722427139837594,0.268780047592375,blambda_actual,blf_gp
3,gp,2,2,25,80.0,10.0,90.0,11,44.0,0.1430418660621334,0.0798478259648818,0.2825735761972124,blambda_actual,blf_gp
3,gp,2,3,25,80.0,10.0,90.0,7,28.0,0.4240527461830733,0.2079268708804934,0.4559899898906701,blambda_actual,blf_gp
3,alt_fourier,1,1,15,80.0,10.0,90.0,15,100.0,0.0344312701896189,0.0322155838486872,0.1794870018934162,lambda_projected_optimum,blf_gp
3,alt_fourier,1,2,15,80.0,10.0,90.0,15,100.0,0.0051413252183614,0.0053142621406978,0.0728989858687885,lambda_projected_optimum,blf_gp
3,alt_fourier,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0267768770964198,0.0256865283310162,0.1602701729300129,lambda_projected_optimum,blf_gp
3,alt_fourier,2,1,25,80.0,10.0,90.0,15,60.0,0.5867622224397369,0.2872112834206177,0.535920967513511,lambda_projected_optimum,blf_gp
3,alt_fourier,2,2,25,80.0,10.0,90.0,25,100.0,0.1325221579523302,0.0636247636860057,0.2522394966812409,lambda_projected_optimum,blf_gp
3,alt_fourier,2,3,25,80.0,10.0,90.0,20,80.0,0.1329076131995306,0.0697489943457001,0.2641003490071532,lambda_projected_optimum,blf_gp
3,alt_fourier,1,1,15,80.0,10.0,90.0,4,26.666666666666668,0.2135806446270577,0.2208889301735431,0.4699882234413359,blambda_actual,blf_gp
3,alt_fourier,1,2,15,80.0,10.0,90.0,14,93.33333333333331,0.0257802705166991,0.0335035665941232,0.1830397951105803,blambda_actual,blf_gp
3,alt_fourier,1,3,15,80.0,10.0,90.0,5,33.333333333333336,0.1396326084774009,0.1763733545241358,0.419968277997441,blambda_actual,blf_gp
3,alt_fourier,2,1,25,80.0,10.0,90.0,13,52.0,0.6389503110413317,0.313940726358519,0.5603041373740864,blambda_actual,blf_gp
3,alt_fourier,2,2,25,80.0,10.0,90.0,23,92.0,0.3621925288868793,0.2671441392664759,0.5168598835917486,blambda_actual,blf_gp
3,alt_fourier,2,3,25,80.0,10.0,90.0,12,48.0,0.258602536890102,0.130810016812176,0.3616766744098602,blambda_actual,blf_gp
3,alt_bspline,1,1,15,80.0,10.0,90.0,4,26.666666666666668,0.0696634385039676,0.0783050319451835,0.2798303628007217,lambda_projected_optimum,blf_gp
3,alt_bspline,1,2,15,80.0,10.0,90.0,15,100.0,0.0047764068071754,0.0063601457618083,0.0797505220158988,lambda_projected_optimum,blf_gp
3,alt_bspline,1,3,15,80.0,10.0,90.0,12,80.0,0.0130018948740518,0.0172148399671435,0.1312053351321642,lambda_projected_optimum,blf_gp
3,alt_bspline,2,1,25,80.0,10.0,90.0,13,52.0,0.2136204493511244,0.1028159171735668,0.3206492120270481,lambda_projected_optimum,blf_gp
3,alt_bspline,2,2,25,80.0,10.0,90.0,25,100.0,0.0503021024240427,0.024588197102305,0.1568062406357128,lambda_projected_optimum,blf_gp
3,alt_bspline,2,3,25,80.0,10.0,90.0,23,92.0,0.0250699686891208,0.0134196471049107,0.1158432005122043,lambda_projected_optimum,blf_gp
3,alt_bspline,1,1,15,80.0,10.0,90.0,4,26.666666666666668,0.0725888544540918,0.0816749515417879,0.2857882984689679,blambda_actual,blf_gp
3,alt_bspline,1,2,15,80.0,10.0,90.0,15,100.0,0.0057019297708545,0.0075502786230964,0.0868923392658779,blambda_actual,blf_gp
3,alt_bspline,1,3,15,80.0,10.0,90.0,12,80.0,0.0111601563955616,0.0147114831801943,0.1212909031221812,blambda_actual,blf_gp
3,alt_bspline,2,1,25,80.0,10.0,90.0,13,52.0,0.2198976545380946,0.1058447477491521,0.3253378978064992,blambda_actual,blf_gp
3,alt_bspline,2,2,25,80.0,10.0,90.0,24,96.0,0.0559902434344185,0.0275856842881899,0.1660893864405247,blambda_actual,blf_gp
3,alt_bspline,2,3,25,80.0,10.0,90.0,23,92.0,0.0216526903456936,0.0118111719299367,0.1086792157219434,blambda_actual,blf_gp
4,gp,1,1,15,80.0,10.0,90.0,5,33.333333333333336,0.070261413181669,0.0692192489701347,0.2630955130178673,lambda_projected_optimum,blf_gp
4,gp,1,2,15,80.0,10.0,90.0,14,93.33333333333331,0.0030036231858721,0.0028578295748468,0.0534586716524726,lambda_projected_optimum,blf_gp
4,gp,1,3,15,80.0,10.0,90.0,10,66.66666666666667,0.0218907356198929,0.0250667431866807,0.1583248028158594,lambda_projected_optimum,blf_gp
4,gp,2,1,25,80.0,10.0,90.0,9,36.0,0.3020420147679888,0.1501623835624387,0.3875079141932958,lambda_projected_optimum,blf_gp
