seed,model_tag,mode,factor,n_coords,ci_level,lower_q,upper_q,within_count,coverage_pct,quad_error,mse,rmse,eval_version,method
52,gp,1,1,15,80.0,10.0,90.0,11,73.33333333333333,0.1862289990095874,0.1907854477946851,0.4367899355464651,lambda_projected_optimum,blf_gp
52,gp,1,2,15,80.0,10.0,90.0,15,100.0,0.020781536390457,0.0196426363689169,0.1401521900254038,lambda_projected_optimum,blf_gp
52,gp,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0374883504246772,0.036230528967442,0.190343187341817,lambda_projected_optimum,blf_gp
52,gp,2,1,25,80.0,10.0,90.0,23,92.0,0.2991652482058295,0.1489364508302631,0.385922856060979,lambda_projected_optimum,blf_gp
52,gp,2,2,25,80.0,10.0,90.0,22,88.0,0.1062308500538627,0.0511176311658585,0.2260920855887232,lambda_projected_optimum,blf_gp
52,gp,2,3,25,80.0,10.0,90.0,22,88.0,0.1348329654164364,0.0667648443854166,0.2583889401375698,lambda_projected_optimum,blf_gp
52,gp,1,1,15,80.0,10.0,90.0,13,86.66666666666667,0.1434500255331807,0.1404386936230725,0.3747515091671714,blambda_actual,blf_gp
52,gp,1,2,15,80.0,10.0,90.0,12,80.0,0.0555499085373385,0.0528078360201096,0.2297995561790962,blambda_actual,blf_gp
52,gp,1,3,15,80.0,10.0,90.0,12,80.0,0.1113505050889831,0.110684719747523,0.3326931315003709,blambda_actual,blf_gp
52,gp,2,1,25,80.0,10.0,90.0,23,92.0,0.1698201026551896,0.0815427956298112,0.285556991911967,blambda_actual,blf_gp
52,gp,2,2,25,80.0,10.0,90.0,16,64.0,0.2542171232190879,0.1222061858650034,0.3495800135376785,blambda_actual,blf_gp
52,gp,2,3,25,80.0,10.0,90.0,24,96.0,0.1068106884611867,0.0529819717753137,0.230178130532233,blambda_actual,blf_gp
52,alt_fourier,1,1,15,80.0,10.0,90.0,15,100.0,0.0645081967459793,0.0696766197769909,0.2639632924802063,lambda_projected_optimum,blf_gp
52,alt_fourier,1,2,15,80.0,10.0,90.0,15,100.0,0.0089489876807536,0.0086293936723319,0.0928945298299739,lambda_projected_optimum,blf_gp
52,alt_fourier,1,3,15,80.0,10.0,90.0,13,86.66666666666667,0.0900522098704342,0.0847138798440664,0.2910564890945853,lambda_projected_optimum,blf_gp
52,alt_fourier,2,1,25,80.0,10.0,90.0,24,96.0,0.3791657168704266,0.1924706202392801,0.4387147367473312,lambda_projected_optimum,blf_gp
52,alt_fourier,2,2,25,80.0,10.0,90.0,20,80.0,0.2598695397790662,0.128222338321422,0.3580814688327532,lambda_projected_optimum,blf_gp
52,alt_fourier,2,3,25,80.0,10.0,90.0,21,84.0,0.3929255272201478,0.2023883023671377,0.4498758743999701,lambda_projected_optimum,blf_gp
52,alt_fourier,1,1,15,80.0,10.0,90.0,15,100.0,0.0306779172313283,0.0324192790674089,0.1800535450009494,blambda_actual,blf_gp
